lipid_supply,imposed_cv,imposed_T,seed,tick,n_intervals,min_interval,max_interval,mean_interval,last_interval,cell_S,rv
0.008,,,5,18800,2,1718.0,2103.0,1910.5,1718.0,0.9932,0.2539
0.008,,,5,18800,1,1865.0,1865.0,1865.0,1865.0,0.99122,0.2896
0.008,,,5,18800,1,1724.0,1724.0,1724.0,1724.0,0.99684,0.2176
0.008,,,5,18800,1,1693.0,1693.0,1693.0,1693.0,0.99401,0.2827
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.9981,0.2035
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.99641,0.2515
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.99122,0.2855
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.99401,0.247
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.99319,0.2598
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.99728,0.2112
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.99601,0.2262
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.99546,0.2105
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.99243,0.2448
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.9914,0.2788
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.99023,0.2396
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.99023,0.2856
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.99023,0.2765
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.9889,0.2457
0.008,,,5,18800,0,-1.0,-1.0,-1.0,-1.0,0.9889,0.3111
0.008,,,5,19000,3,1772.0,2037.0,1867.67,1794.0,0.99592,0.2529
0.008,,,5,19000,2,1718.0,2103.0,1910.5,1718.0,0.99641,0.2308
0.008,,,5,19000,1,1865.0,1865.0,1865.0,1865.0,0.99537,0.2622
0.008,,,5,19000,1,1724.0,1724.0,1724.0,1724.0,0.99833,0.1975
0.008,,,5,19000,1,1693.0,1693.0,1693.0,1693.0,0.99684,0.2539
0.008,,,5,19000,1,2073.0,2073.0,2073.0,2073.0,0.26414,0.8269
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.9981,0.2255
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.99536,0.258
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.99684,0.2233
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.99641,0.2346
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.23189,0.8592
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.99789,0.2056
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.32199,0.8065
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.99601,0.2218
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.99546,0.2502
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.99484,0.2174
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.99484,0.2561
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.99484,0.2467
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.99414,0.2231
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.99414,0.2768
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.06,0.715
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.06,0.6294
0.008,,,5,19000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.5865
0.008,,,5,19200,3,1772.0,2037.0,1867.67,1794.0,0.99785,0.2304
0.008,,,5,19200,2,1718.0,2103.0,1910.5,1718.0,0.99811,0.2115
0.008,,,5,19200,1,1865.0,1865.0,1865.0,1865.0,0.99755,0.2382
0.008,,,5,19200,2,1724.0,2074.0,1899.0,2074.0,0.32244,0.7598
0.008,,,5,19200,1,1693.0,1693.0,1693.0,1693.0,0.99833,0.2299
0.008,,,5,19200,1,2073.0,2073.0,2073.0,2073.0,0.59367,0.7005
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.999,0.2074
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.99755,0.2338
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.99833,0.2047
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.9981,0.2152
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.53822,0.727
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.26367,0.7944
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.64219,0.6798
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.99789,0.2029
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.99761,0.2263
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.99728,0.1984
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.99728,0.2314
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.99728,0.2235
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.99691,0.2033
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.99691,0.25
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.48594,0.6119
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.48594,0.5486
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.41584,0.5118
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.1428,0.6782
0.008,,,5,19200,0,-1.0,-1.0,-1.0,-1.0,0.0,0.6507
0.008,,,5,19400,3,1772.0,2037.0,1867.67,1794.0,0.99886,0.2114
