max_cells,seed,tick,n_intervals,n_divisions,cell_S
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33600,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,33800,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
20,5,34000,0,0,0.0
